0.100000, -2.299966, -2.302585
0.300000, -1.203699, -1.203973
0.500000, -0.692427, -0.693147
0.700000, -0.356596, -0.356675
0.900000, -0.104300, -0.105361
1.100000, 0.095619, 0.095310
1.300000, 0.262457, 0.262364
1.500000, 0.405493, 0.405465
1.700000, 0.530637, 0.530628
1.900000, 0.642316, 0.641854
2.100000, 0.742160, 0.741937
2.300000, 0.833015, 0.832909
2.500000, 0.916341, 0.916291
2.700000, 0.993275, 0.993252
2.900000, 1.064722, 1.064711
3.100000, 1.131407, 1.131402
3.300000, 1.193925, 1.193922
3.500000, 1.253020, 1.252763
3.700000, 1.308484, 1.308333
3.900000, 1.361063, 1.360977
4.100000, 1.411036, 1.410987
4.300000, 1.458642, 1.458615
4.500000, 1.504092, 1.504077
4.700000, 1.547570, 1.547563
4.900000, 1.589239, 1.589235
5.100000, 1.629242, 1.629241
5.300000, 1.667708, 1.667707
5.500000, 1.704857, 1.704748
5.700000, 1.740525, 1.740466
5.900000, 1.774982, 1.774952
6.100000, 1.808303, 1.808289
6.300000, 1.840555, 1.840550
6.500000, 1.871804, 1.871802
6.700000, 1.902108, 1.902108
6.900000, 1.931599, 1.931521
7.100000, 1.960110, 1.960095
7.300000, 1.987948, 1.987874
7.500000, 2.015015, 2.014903
7.700000, 2.041202, 2.041220
7.900000, 2.066786, 2.066863
8.100000, 2.091864, 2.091864
8.300000, 2.116254, 2.116256
8.500000, 2.140062, 2.140066
8.700000, 2.163315, 2.163323
8.900000, 2.186035, 2.186051
9.100000, 2.208245, 2.208274
9.300000, 2.229966, 2.230014
9.500000, 2.251215, 2.251292
9.700000, 2.272126, 2.272126
9.900000, 2.292535, 2.292535
